DroneID,Time,X,Z
Agent 0,0,2.706804,0.7389359
Agent 1,0,0.4772129,1.771499
Agent 2,0,-2.524761,1.651319
Agent 3,0,-3.166816,-3.875236
Agent 4,0,1.283982,-0.3428617
Agent 5,0,0.259161,-2.065438
Agent 6,0,-3.157845,-1.075647
Agent 7,0,2.103584,-0.8139949
Agent 0,0.5011866,2.634901,0.7532747
Agent 1,0.5011866,0.4002838,1.79968
Agent 2,0.5011866,-2.602426,1.682195
Agent 3,0.5011866,-3.239546,-3.85411
Agent 4,0.5011866,1.208035,-0.3332124
Agent 5,0.5011866,0.1821957,-2.054388
Agent 6,0.5011866,-3.233884,-1.042705
Agent 7,0.5011866,2.031408,-0.8071911
Agent 0,1.001187,2.151819,0.7697632
Agent 1,1.001187,-0.1344395,1.845382
Agent 2,1.001187,-3.144584,1.737999
Agent 3,1.001187,-3.730527,-3.825961
Agent 4,1.001187,0.6802197,-0.3230509
Agent 5,1.001187,-0.3575125,-2.042756
Agent 6,1.001187,-3.756445,-0.9761771
Agent 7,1.001187,1.543284,-0.7991617
Agent 0,1.500187,1.020998,0.7792345
Agent 1,1.500187,-1.399698,1.874602
Agent 2,1.500187,-4.425422,1.772333
Agent 3,1.500187,-4.883556,-3.805118
Agent 4,1.500187,-0.5670891,-0.3184013
Agent 5,1.500187,-1.658984,-2.038984
Agent 6,1.500187,-4.944883,-0.9384311
Agent 7,1.500187,0.3972921,-0.7907518
Agent 0,2.001801,-0.5349169,0.777018
Agent 1,2.001801,-3.145588,1.894127
Agent 2,2.001801,-6.181995,1.792608
Agent 3,2.001801,-6.483327,-3.78842
Agent 4,2.001801,-2.268915,-0.3203417
Agent 5,2.001801,-3.453708,-2.04783
Agent 6,2.001801,-6.469248,-0.9209777
Agent 7,2.001801,-1.187273,-0.784725
Agent 0,2.500178,-2.01599,0.7654046
Agent 1,2.500178,-4.866966,1.907569
Agent 2,2.500178,-7.894957,1.80459
Agent 3,2.500178,-8.001638,-3.775399
Agent 4,2.500178,-3.897716,-0.3270832
Agent 5,2.500178,-5.151213,-2.063781
Agent 6,2.500178,-7.845625,-0.8726048
Agent 7,2.500178,-2.728839,-0.7830306
Agent 0,3.001281,-3.09267,0.753853
Agent 1,3.001281,-6.335422,1.916984
Agent 2,3.001281,-9.330843,1.811538
Agent 3,3.001281,-9.128833,-3.766196
Agent 4,3.001281,-5.191921,-0.3350952
Agent 5,3.001281,-6.369994,-2.076948
Agent 6,3.001281,-8.920442,-0.7016864
Agent 7,3.001281,-3.95413,-0.7813879
Agent 0,3.500485,-3.767754,0.7563818
Agent 1,3.500485,-7.682136,1.924396
Agent 2,3.500485,-10.63004,1.815658
Agent 3,3.500485,-10.02347,-3.759418
Agent 4,3.500485,-6.23871,-0.344184
Agent 5,3.500485,-7.12865,-2.085212
Agent 6,3.500485,-9.839122,-0.2861176
Agent 7,3.500485,-4.911252,-0.7790912
Agent 0,4.001278,-4.211697,0.8416436
Agent 1,4.001278,-9.144757,1.93212
Agent 2,4.001278,-12.07305,1.818635
Agent 3,4.001278,-11.06427,-3.749658
Agent 4,4.001278,-7.289857,-0.3576939
Agent 5,4.001278,-7.623407,-2.090656
Agent 6,4.001278,-10.80542,0.3910972
Agent 7,4.001278,-5.833744,-0.7776432
Agent 0,4.501684,-4.564091,1.116334
Agent 1,4.501684,-10.80328,1.941787
Agent 2,4.501684,-13.78707,1.822169
Agent 3,4.501684,-12.47704,-3.688748
Agent 4,4.501684,-8.549709,-0.3771856
