DroneID,Time,X,Z
Agent 0,8.000484,-1.63798,43.68207
Agent 1,8.000484,-4.248148,49.83404
Agent 2,8.000484,2.975704,34.71561
Agent 3,8.000484,-3.240234,39.91069
Agent 4,8.000484,2.824318,44.38854
Agent 5,8.000484,-2.956047,34.99747
Agent 6,8.000484,1.500797,32.62212
Agent 7,8.000484,-0.4100552,48.44892
Agent 0,8.500482,-1.702693,47.53041
Agent 1,8.500482,-4.260628,53.65954
Agent 2,8.500482,2.975704,36.71028
Agent 3,8.500482,-3.235817,43.66209
Agent 4,8.500482,3.003454,48.38557
Agent 5,8.500482,-2.88047,38.80146
Agent 6,8.500482,1.500797,36.49681
Agent 7,8.500482,-0.4916258,52.27863
Agent 0,9.000261,-1.733382,51.3268
Agent 1,9.000261,-4.302038,57.48949
Agent 2,9.000261,2.975704,38.8251
Agent 3,9.000261,-3.26132,47.50765
Agent 4,9.000261,3.122622,52.16514
Agent 5,9.000261,-2.845593,42.63267
Agent 6,9.000261,1.500797,40.87254
Agent 7,9.000261,-0.5247545,56.1007
Agent 0,9.501843,-1.726602,55.01127
Agent 1,9.501843,-4.351154,61.21088
Agent 2,9.501843,2.975704,41.16535
Agent 3,9.501843,-3.278331,51.32015
Agent 4,9.501843,3.185698,55.7686
Agent 5,9.501843,-2.861908,46.35474
Agent 6,9.501843,1.499382,45.48027
Agent 7,9.501843,-0.5091305,59.81816
