DroneID,Time,X,Z
Agent 0,0,-0.1762562,-2.232353
Agent 1,0,0.995985,3.022197
Agent 2,0,1.111581,-2.997447
Agent 3,0,-3.673666,-1.654452
Agent 4,0,1.723923,2.932347
Agent 5,0,1.488996,-0.7975583
Agent 6,0,-1.147842,-1.668872
Agent 7,0,2.259066,2.20744
Agent 0,0.500977,-0.1762638,-2.230689
Agent 1,0.500977,0.995985,3.0246
Agent 2,0.500977,1.111581,-2.995598
Agent 3,0.500977,-3.673666,-1.652608
Agent 4,0.500977,1.723923,2.936564
Agent 5,0.500977,1.488996,-0.7952563
Agent 6,0.500977,-1.147842,-1.666683
Agent 7,0.500977,2.259066,2.210008
Agent 0,1.002799,-0.1768417,-2.22657
Agent 1,1.002799,0.995985,3.02888
Agent 2,1.002799,1.111581,-2.99143
Agent 3,1.002799,-3.673666,-1.648456
Agent 4,1.002799,1.723923,2.946305
Agent 5,1.002799,1.488995,-0.7905512
Agent 6,1.002799,-1.147842,-1.66232
Agent 7,1.002799,2.259066,2.214418
Agent 0,1.501184,-0.1791477,-2.221944
Agent 1,1.501184,0.995985,3.032873
Agent 2,1.501184,1.111581,-2.987099
Agent 3,1.501184,-3.673666,-1.644058
Agent 4,1.501184,1.723923,2.954219
Agent 5,1.501184,1.488982,-0.785851
Agent 6,1.501184,-1.147842,-1.657578
Agent 7,1.501184,2.259066,2.219408
Agent 0,2.002981,-0.184679,-2.209873
Agent 1,2.002981,0.995985,3.050527
Agent 2,2.002981,1.111581,-2.973822
Agent 3,2.002981,-3.673666,-1.631017
Agent 4,2.002981,1.723923,2.976408
Agent 5,2.002981,1.488705,-0.7686298
Agent 6,2.002981,-1.147842,-1.642902
Agent 7,2.002981,2.259066,2.238607
Agent 0,2.500849,-0.1944313,-2.132912
Agent 1,2.500849,0.995985,3.156712
Agent 2,2.500849,1.111581,-2.905353
Agent 3,2.500849,-3.673666,-1.562871
Agent 4,2.500849,1.721783,3.095177
Agent 5,2.500849,1.486825,-0.6617634
Agent 6,2.500849,-1.147842,-1.544561
Agent 7,2.500849,2.261295,2.344512
Agent 0,3.000952,-0.2009249,-1.459179
Agent 1,3.000952,0.9823637,4.186985
Agent 2,3.000952,1.111581,-2.332399
Agent 3,3.000952,-3.673666,-0.809458
Agent 4,3.000952,1.686956,4.116765
Agent 5,3.000952,1.474483,0.4353653
Agent 6,3.000952,-1.147842,-0.4498236
Agent 7,3.000952,2.281557,3.171495
Agent 0,3.501649,-0.196291,-0.5083184
Agent 1,3.501649,0.9547272,6.813279
Agent 2,3.501649,1.112935,-1.707667
Agent 3,3.501649,-3.673666,0.5391874
Agent 4,3.501649,1.662781,6.55592
Agent 5,3.501649,1.458505,3.194535
Agent 6,3.501649,-1.147842,2.393254
Agent 7,3.501649,2.26049,5.025376
Agent 0,4.000942,-0.1934366,0.2192251
Agent 1,4.000942,1.000922,10.19441
Agent 2,4.000942,1.111875,-0.8138595
Agent 3,4.000942,-3.673666,1.461861
Agent 4,4.000942,1.700798,10.0701
Agent 5,4.000942,1.451406,5.908332
Agent 6,4.000942,-1.147842,6.140238
Agent 7,4.000942,2.240595,6.546403
Agent 0,4.500345,-0.1819353,1.790103
Agent 1,4.500345,1.065255,13.48126
Agent 2,4.500345,1.095986,1.256192
Agent 3,4.500345,-3.673666,3.124567
Agent 4,4.500345,1.838499,14.10537
Agent 5,4.500345,1.444887,7.897175
Agent 6,4.500345,-1.147842,9.716175
Agent 7,4.500345,2.231501,7.850983
Agent 0,5.000977,-0.1267433,4.696955
Agent 1,5.000977,1.118007,16.01287
Agent 2,5.000977,1.082786,3.213052
Agent 3,5.000977,-3.673666,6.001648
Agent 4,5.000977,2.021255,18.06728
Agent 5,5.000977,1.440557,10.31007
Agent 6,5.000977,-1.147842,13.17369
Agent 7,5.000977,2.248232,10.26034
Agent 0,5.500869,-0.02269077,8.240349
Agent 1,5.500869,1.155249,17.65726
Agent 2,5.500869,1.077197,4.332428
Agent 3,5.500869,-3.673666,8.858927
Agent 4,5.500869,2.178299,22.21108
Agent 5,5.500869,1.447845,12.3192
Agent 6,5.500869,-1.147842,16.97795
Agent 7,5.500869,2.314907,13.68406
Agent 0,6.003326,0.07809639,11.94481
Agent 1,6.003326,1.187913,18.87802
Agent 2,6.003326,1.058398,5.299471
Agent 3,6.003326,-3.673666,11.60775
Agent 4,6.003326,2.229458,26.55116
Agent 5,6.003326,1.452649,13.58646
Agent 6,6.003326,-1.147842,21.13644
Agent 7,6.003326,2.407703,17.18566
Agent 0,6.501159,0.1151915,15.77715
Agent 1,6.501159,1.239112,20.64451
Agent 2,6.501159,0.9507227,7.397776
Agent 3,6.501159,-3.673666,15.00666
Agent 4,6.501159,2.207348,30.24245
Agent 5,6.501159,1.456169,14.42749
Agent 6,6.501159,-1.147842,25.33484
