DroneReached,DroneLost,DroneDead,TimeReached,Collisions,Sigma
---COLLISION RUN 1---
4,0,3,25.66795,316,12.92882
3,0,4,32.30339,59,10.89026
5,0,2,22.07853,45,15.60008
4,0,3,22.54123,27,12.60634
3,0,4,23.7542,53,14.92991
6,0,1,23.12206,26,11.60827
5,0,2,21.10272,47,13.80062
4,0,2,21.63982,48,15.48836
6,0,1,23.64597,34,9.600607
4,0,3,25.411,42,12.48748
4,0,2,23.86679,247,13.45474
5,0,2,22.9089,61,12.86416
5,0,2,24.00658,47,14.16752
4,0,3,27.08124,107,12.47125
5,0,2,24.82401,23,14.65573
4,0,3,23.98302,39,16.12594
3,0,4,27.94852,60,14.17891
4,0,3,21.59901,63,14.70187
4,0,3,24.79074,49,14.16723
4,0,3,27.93934,72,12.89101
4,0,3,24.9187,23,12.92109
4,0,3,22.00723,69,16.4365
5,0,2,23.92839,30,12.84334
4,0,3,23.0929,27,15.56891
4,0,3,22.773,55,14.86257
4,0,3,22.91545,42,14.73621
5,0,2,23.6782,31,13.20784
5,0,2,25.27565,38,13.08009
4,0,3,23.91354,62,12.89479
4,0,3,23.41834,23,15.0444
4,0,3,26.29072,33,12.13024
4,0,3,25.04439,49,12.37937
5,0,2,24.67916,41,14.4484
4,0,3,23.0904,21,14.14982
5,0,2,21.14443,74,12.61612
4,0,3,23.45472,33,14.14737
4,0,3,27.38838,59,13.79903
5,0,2,24.55299,50,12.80749
5,0,2,22.71521,45,13.84656
4,0,3,24.07257,52,14.30143
5,0,2,23.44035,45,13.88971
5,0,2,24.67473,22,13.52445
5,0,2,24.3429,40,12.38421
4,0,3,23.62831,35,14.9138
5,0,2,24.18417,41,11.68104
4,0,2,24.89543,75,13.1712
4,0,3,28.28756,55,12.26578
4,0,3,24.20205,35,13.29902
5,0,2,27.17895,29,11.24698
4,0,3,27.43074,78,11.29765
4,0,3,30.80671,30,9.050982
5,0,2,22.20968,31,14.15653
5,0,2,21.54734,45,14.82651
3,0,4,26.90136,26,13.54576
4,0,3,24.08365,51,15.349
5,0,2,28.3919,28,11.79326
5,0,2,21.00769,54,15.54559
5,0,2,22.62438,45,15.11394
4,0,3,24.5226,42,14.04193
5,0,2,23.04482,44,14.97107
4,0,3,25.37939,79,13.32892
5,0,2,24.28956,45,15.35886
4,0,3,25.56057,41,14.33554
4,0,3,25.11034,60,15.01891
4,0,3,24.27062,25,14.21763
4,0,3,23.40039,28,15.87354
5,0,2,23.99392,121,11.24772
4,0,3,22.53553,37,13.22376
4,0,3,26.63855,21,12.29279
5,0,2,23.21269,49,13.0774
5,0,2,23.79406,29,13.39001
5,0,2,26.60988,47,11.00628
4,0,3,24.9208,35,13.74633
4,0,2,25.06869,42,12.1647
5,0,2,23.63871,41,14.70289
4,0,3,20.3742,57,14.38904
5,0,2,23.3546,106,12.40429
5,0,2,27.65894,79,11.56145
5,0,2,23.61724,27,13.34963
5,0,2,24.119,58,14.62488
4,0,3,24.91205,44,13.89977
6,0,2,22.28451,75,11.8397
4,0,3,25.82709,58,14.53601
4,0,3,23.22498,25,13.73192
4,0,3,24.94435,52,13.09562
4,0,3,22.94368,39,14.47723
4,0,2,23.33382,88,14.45289
3,0,4,31.4795,43,11.40467
3,0,4,28.68867,26,12.03636
4,0,3,25.47169,91,13.29115
5,0,2,24.49682,45,13.41877
5,0,2,23.45362,46,14.39512
5,0,2,25.8972,40,13.31179
5,0,2,23.2461,19,12.90456
4,0,3,26.01547,184,13.27296
5,0,2,21.62712,57,13.99906
5,0,2,24.16157,23,11.44594
5,0,2,24.60461,27,13.19546
4,0,3,27.08075,63,12.63979
4,0,3,26.27405,50,13.97556
5,0,2,22.87228,64,12.89664
5,0,2,22.87124,37,12.42865
5,0,2,25.50769,51,12.53305
5,0,2,23.32194,25,14.02094
4,0,3,23.93462,29,13.69017
5,0,2,23.26768,33,14.6082
3,0,4,25.1549,59,14.5538
4,0,3,24.74183,46,12.81076
5,0,2,23.69463,41,12.29274
4,0,3,26.80455,44,11.98625
5,0,2,23.36213,49,14.74692
5,0,2,22.68287,446,13.34905
5,0,1,25.31061,28,9.013193
5,0,2,22.12144,18,14.23067
4,0,2,23.21038,61,13.4233
4,0,3,23.71059,50,13.83491
5,0,2,22.98669,43,13.13025
5,0,2,24.0616,41,14.04557
5,0,2,22.68118,91,12.6423
5,0,2,22.97659,35,13.35848

4,0,3,26.57965,32,11.81328
4,0,3,28.37302,83,12.69294
4,0,2,26.96674,23,12.15653
4,0,3,22.64784,28,13.40604
3,0,4,26.43469,171,11.51861
5,0,2,22.88887,30,12.37384
5,0,2,22.59678,24,14.40025
5,0,2,22.77025,43,13.261
4,0,3,23.53624,46,14.29593
5,0,2,22.45785,57,14.38981
4,0,2,24.04881,68,12.77729
5,0,2,22.14064,217,14.33403
4,0,3,27.95162,48,12.39691
4,0,3,32.12634,212,11.14452
4,0,3,23.83411,68,16.10521
4,0,3,25.36241,47,13.20552
4,0,3,27.744,35,12.41998
4,0,3,23.1239,36,14.90255
4,0,3,26.9214,27,12.94535
4,0,2,23.8289,179,12.69092
4,0,3,27.16219,54,13.44518
3,0,4,27.67758,38,13.33609
4,0,3,25.61488,37,13.2436
5,0,1,23.33945,24,12.85826
5,0,2,28.39132,32,9.631044
4,0,3,24.49083,50,13.31076
4,0,3,27.44488,44,11.13141
4,0,3,27.61953,36,12.98752
3,0,4,27.62225,53,13.07741
4,0,2,23.13827,24,14.39769
5,0,2,21.83441,33,12.31144
3,0,4,26.87623,55,13.8862
4,0,3,27.68326,95,11.69056
4,0,3,27.98727,29,12.35907
4,0,3,23.51404,42,14.41545
5,0,3,24.32715,45,12.86976
5,0,2,23.98843,125,13.21915
5,0,2,23.60596,102,11.34181
3,0,4,29.42265,38,10.1708
4,0,3,23.91716,58,15.03763
3,0,4,28.61396,27,13.72825
4,0,3,23.75232,39,13.13109
3,0,4,30.30204,48,12.73632
4,0,3,24.01299,77,13.82851
4,0,3,23.20307,45,15.13866
4,0,3,23.80735,44,13.19453
4,0,3,27.33198,36,13.01399
4,0,3,26.21977,21,12.93844
4,0,3,26.21922,30,13.48925
4,0,3,23.72646,60,15.38169
5,0,2,23.01845,43,14.41514
3,0,4,25.9928,37,13.46394
4,0,2,23.91726,102,13.80168
3,0,4,26.40201,38,12.93684
5,0,2,23.97881,33,13.13768
4,0,3,21.82191,47,15.53457
3,0,4,31.07318,34,11.35132
5,0,2,23.36683,48,12.37152
4,0,3,22.66787,33,15.04051
4,0,3,26.68666,42,13.39469
4,0,3,24.64107,36,14.56333
4,0,3,27.67476,61,11.94829
4,0,3,24.10472,57,14.77157
4,0,3,28.08722,134,10.61071
4,0,3,23.71652,75,14.63838
3,0,3,23.82621,68,14.80815
3,0,3,25.67398,32,14.09238
4,0,3,28.32426,66,10.64561
5,0,2,23.42778,200,13.14671
4,0,3,24.56834,150,14.71078
3,0,3,23.80819,30,14.9955
3,0,4,23.05528,44,16.09871
4,0,3,26.69343,57,13.75976
3,0,4,30.6589,41,12.87931
3,0,4,25.6084,562,14.33349
4,0,3,26.64603,41,11.48557
4,0,3,23.89637,53,14.61003
5,0,2,27.10474,24,9.768884
5,0,2,22.89375,244,12.3319
4,0,3,25.01976,80,13.60486
2,0,5,35.28397,36,10.4164
4,0,3,22.99838,34,14.2685
4,0,3,29.08523,37,12.49429
5,0,2,25.03743,37,12.42132
4,0,3,24.0477,38,15.20446
5,0,2,21.97493,88,15.48815
5,0,2,24.14586,53,14.58576
4,0,3,22.93067,42,15.02608
4,0,3,23.81501,104,15.06477
5,0,2,22.96277,23,13.9449
3,0,4,22.31898,70,14.1586
4,0,3,29.14167,40,10.69569
5,0,2,25.05846,23,12.25426
4,0,3,25.27301,55,14.37393
3,0,3,22.90845,71,15.25199
5,0,2,23.53152,33,12.46223
4,0,3,23.53396,38,13.56175
4,0,2,24.15429,25,11.64454
4,0,3,24.69866,35,13.97623
5,0,1,23.46813,36,12.74112
4,0,3,27.42081,162,12.4366
4,0,2,22.96528,42,13.74448
4,0,3,22.00512,36,15.26084
5,0,2,23.29703,29,14.43648
5,0,2,22.4002,53,13.99425
4,0,2,22.44241,367,15.62217
4,0,2,23.27888,30,13.72007
3,0,3,24.0422,29,14.5713
5,0,2,22.64086,120,13.93676
5,0,2,23.28845,33,15.26824
5,0,2,21.73656,139,13.86388
4,0,2,24.05127,64,15.43217
5,0,2,22.25648,35,11.83226
5,0,2,23.5968,17,12.02941
3,0,4,23.76578,95,14.65589
5,0,2,22.1755,40,15.61236
6,0,1,24.71018,25,10.42445
3,0,3,23.47329,53,14.40716
5,0,2,23.3749,148,13.34229
5,0,2,23.77748,54,13.45897
4,0,3,27.00742,42,10.52363
4,0,2,24.93768,41,14.73559
4,0,3,29.077,22,11.30557
6,0,2,22.84913,21,12.00809
4,0,3,27.95869,36,10.51031
5,0,2,23.76917,37,14.66642
4,0,3,23.87195,43,14.47037
4,0,2,22.8713,29,13.34323
5,0,2,23.3693,58,14.33558
5,0,2,24.36,35,12.78382
5,0,2,22.97252,16,13.90486
5,0,1,21.0232,48,12.47938
4,0,3,24.10577,33,15.58204
4,0,3,23.89765,33,15.06441
5,0,2,23.99013,29,13.2668
5,0,2,28.15849,38,10.68479
4,0,3,24.40211,38,14.1605
4,0,3,25.89743,28,12.39459
4,0,3,25.74911,44,14.27372
5,0,2,23.72109,41,12.18825
3,0,4,27.57655,53,13.23231
3,0,4,25.13408,48,13.49809
5,0,2,24.03949,138,13.17353
4,0,2,23.53869,57,13.24977
5,0,2,28.00972,41,10.83627
5,0,2,23.83292,29,12.0257
4,0,3,27.94844,38,12.57434
5,0,2,23.34065,41,14.13519
4,0,3,27.92115,57,10.5406
5,0,2,23.87692,20,10.94708
4,0,3,27.29079,50,13.48977
4,0,3,24.02951,42,13.45282
5,0,2,22.14272,51,14.90359
4,0,3,24.77709,43,14.69029
4,0,3,27.3165,21,13.39659
5,0,2,22.93342,53,15.46264
4,0,3,28.4474,88,12.79309
4,0,2,26.81317,29,13.684
5,0,2,23.26613,99,13.26033
5,0,2,22.21545,21,13.71916
5,0,2,23.44615,28,12.05851
4,0,3,26.55557,27,12.21941
4,0,3,23.16964,32,15.31221
5,0,2,23.53054,146,14.79175
5,0,2,22.67701,40,13.25546
5,0,2,26.49329,44,11.21709
4,0,3,24.05051,30,13.7191
4,0,3,30.47264,27,9.839605
4,0,2,23.85689,45,15.14352
4,0,3,25.44409,62,13.04227
5,0,2,22.6027,23,12.99366
4,0,3,23.62481,123,14.30986
6,0,1,22.53307,23,12.33892
6,0,1,24.41591,52,11.15592

5,0,2,22.6422,70,13.29937
5,0,2,25.93526,47,11.52292
4,0,3,24.64061,30,13.89741
4,0,3,27.39226,31,13.57628
4,0,3,26.6917,21,12.6676
5,0,2,23.4853,27,12.36228
5,0,2,23.44013,42,15.31904
4,0,3,23.73576,64,12.85298
5,0,2,24.94106,82,9.154174
4,0,3,28.57586,33,12.44231
4,0,2,23.91505,64,13.57999
6,0,1,22.36148,25,13.75898
4,0,3,22.32552,37,14.28628
5,0,2,21.58589,54,13.17948
5,0,2,23.54389,164,14.0116
5,0,2,23.05198,54,13.54658
4,0,3,27.52871,34,10.82811
4,0,3,22.88907,31,15.03383
4,0,3,23.67461,44,13.4759
5,0,2,23.88576,37,13.95503
5,0,2,21.84072,48,15.01605
4,0,3,23.39266,53,14.74687
5,0,2,23.48938,32,12.20917
4,0,3,22.94383,24,14.59631
3,0,4,26.7333,44,13.80544
5,0,2,22.37488,27,13.70032
4,0,3,23.52307,33,14.30782
3,0,3,28.20356,46,10.65949
4,0,3,24.95883,27,13.77537
5,0,2,28.1764,34,11.64074
4,0,3,29.33619,46,10.04347
4,0,3,23.02421,25,15.06761
5,0,2,23.09551,30,13.43658
3,0,4,28.09551,56,12.7915
4,0,3,23.91595,52,12.59155
5,0,2,26.0907,20,10.18195
4,0,3,22.78601,154,15.74489
4,0,3,27.51228,39,13.23863
4,0,3,23.19124,33,15.03001
4,0,3,22.27032,53,15.55436
4,0,3,22.7089,59,15.80701
3,0,3,31.43954,123,10.22898
4,0,3,24.67602,45,13.79722
3,0,4,25.6137,40,13.45809
5,0,2,23.5598,39,13.64702
5,0,2,21.85159,88,14.17074
4,0,3,33.35988,31,9.485096
5,0,2,21.8845,46,12.16786
4,0,3,25.3314,38,14.54529
4,0,3,22.07301,38,15.53231
5,0,2,22.73168,38,11.57467
4,0,3,25.12452,38,14.57713
4,0,3,30.60582,33,9.641232
5,0,2,23.04931,319,13.39876
4,0,3,24.36563,23,13.54554
6,0,1,24.32271,24,10.43058
