y,x
-0.2336,0
-0.2336,0.00368154
-0.2336,0.006861687
-0.2336,0.009523571
-0.2336,0.01265585
-0.2336,0.01663309
-0.2336,0.0198434
-0.2336,0.0225299
-0.1776,0.02542418
-0.1776,0.02811676
-0.1776,0.03093988
-0.1776,0.03382999
-0.1776,0.03673095
-0.1776,0.0395413
-0.1776,0.04243892
-0.1776,0.04501909
-0.1776,0.0477429
-0.1078,0.05055004
-0.1078,0.05334944
-0.1078,0.05613726
-0.1078,0.05892664
-0.1078,0.0620293
-0.1078,0.0647369
-0.1078,0.06761831
-0.1078,0.07064456
-0.0672,0.07333976
-0.0672,0.07602328
-0.0672,0.07882434
-0.0672,0.08123332
-0.0672,0.08394581
-0.0672,0.08642644
-0.0672,0.08881575
-0.0672,0.09137553
-0.0672,0.09401923
-0.0672,0.09633416
-0.0514,0.09851605
-0.0514,0.1011292
-0.0514,0.1033462
-0.0514,0.1056443
-0.0514,0.1079361
-0.0514,0.1102211
-0.0514,0.1124673
-0.0514,0.1145526
-0.0514,0.1165159
-0.0514,0.1186516
-0.0514,0.1206611
-0.0514,0.1228294
-0.031,0.1249616
-0.031,0.1270209
-0.031,0.1291938
-0.031,0.131322
-0.031,0.1334402
-0.031,0.1355427
-0.031,0.1376175
-0.031,0.1394143
-0.031,0.1413402
-0.0247,0.1489667
-0.0247,0.1510621
-0.0247,0.1530374
-0.0247,0.1548428
-0.0247,0.1570372
-0.0247,0.1589398
-0.0247,0.1607187
-0.0247,0.1626647
-0.0247,0.1645316
-0.0247,0.1665232
-0.0247,0.1684502
-0.0247,0.1703199
-0.0247,0.1722474
-0.0142,0.1741484
-0.0142,0.1760752
-0.0142,0.1781004
-0.0142,0.1796421
-0.0142,0.1815394
-0.0142,0.1833169
-0.0142,0.1852362
-0.0142,0.1870851
-0.0142,0.1889282
-0.0142,0.1909708
-0.0142,0.1928486
-0.0142,0.1946833
-0.0142,0.1965584
-0.0119,0.1988109
-0.0119,0.2006127
-0.0119,0.2025709
-0.0119,0.2044215
-0.0119,0.2062237
-0.0119,0.2081234
-0.0119,0.2100261
-0.0119,0.211921
-0.0119,0.2137334
-0.0119,0.215625
-0.0119,0.2176295
-0.0119,0.2196255
-0.0119,0.2213226
-0.0064,0.2232376
-0.0064,0.2251292
-0.0064,0.2270395
-0.0064,0.2289142
-0.0064,0.230837
-0.0064,0.2334172
-0.0064,0.2353529
-0.0064,0.237191
-0.0064,0.2390566
-0.0064,0.2409181
-0.0064,0.242828
-0.0064,0.2450417
-0.0064,0.2469854
-0.0058,0.2487213
-0.0058,0.25073
-0.0058,0.2526291
-0.0058,0.2544468
-0.0058,0.2563508
-0.0058,0.2582636
-0.0058,0.2601326
-0.0058,0.262046
-0.0058,0.2638181
-0.0058,0.2667401
-0.0058,0.2687153
-0.0058,0.2704495
-0.0058,0.2723426
-0.0029,0.2741176
-0.0029,0.2760178
-0.0029,0.2780423
-0.0029,0.2798588
-0.0029,0.2816218
-0.0029,0.2835298
-0.0029,0.2853506
-0.0029,0.2871391
-0.0029,0.2890336
-0.0029,0.2908587
-0.0029,0.292617
-0.0029,0.2947741
-0.0029,0.2963185
-0.0028,0.2982424
-0.0028,0.300121
-0.0028,0.3020398
-0.0028,0.3042836
-0.0028,0.3062435
-0.0028,0.3081326
-0.0028,0.3100228
-0.0028,0.3119554
-0.0028,0.3138399
-0.0028,0.3156188
-0.0028,0.3178371
-0.0028,0.3196829
-0.0028,0.321529
-0.0012,0.3234335
-0.0012,0.3252313
-0.0012,0.3271877
-0.0012,0.3289656
-0.0012,0.3308359
-0.0012,0.3332294
-0.0012,0.3350297
-0.0012,0.336948
-0.0012,0.3387157
-0.0012,0.3406201
-0.0012,0.3425184
-0.0012,0.344546
-0.0012,0.3463299
-0.0014,0.3481756
-0.0014,0.3503169
-0.0014,0.3522611
-0.0014,0.354047
-0.0014,0.3559415
-0.0014,0.3577181
-0.0014,0.3596353
-0.0014,0.3615699
-0.0014,0.3634467
-0.0014,0.3653333
-0.0014,0.367323
-0.0014,0.3692949
-0.0014,0.3711413
-0.0005,0.3730378
-0.0005,0.3748108
-0.0005,0.3767137
-0.0005,0.3786256
-0.0005,0.3805514
-0.0005,0.3831591
-0.0005,0.3849288
-0.0005,0.386758
-0.0005,0.3886392
-0.0005,0.390603
-0.0005,0.3923598
-0.0005,0.3943434
-0.0005,0.396131
-0.0005,0.3979116
-0.0007,0.3998424
-0.0007,0.4016239
-0.0007,0.4034687
-0.0007,0.4053693
-0.0007,0.4071092
-0.0007,0.4090223
-0.0007,0.4110451
-0.0007,0.4129211
-0.0007,0.4148363
-0.0007,0.4167367
-0.0007,0.4186131
-0.0007,0.4205158
-0.0007,0.4223177
-0.0002,0.4242231
-0.0002,0.4260325
-0.0002,0.4278932
-0.0002,0.4297188
-0.0002,0.4316279
-0.0002,0.4334208
-0.0002,0.435331
-0.0002,0.4371412
-0.0002,0.4390656
-0.0002,0.4409479
-0.0002,0.4428189
-0.0002,0.4446737
-0.0002,0.4465393
-0.0004,0.4483313
-0.0004,0.4501513
-0.0004,0.4520296
-0.0004,0.4539546
-0.0004,0.4556145
-0.0004,0.4575353
-0.0004,0.4593257
-0.0004,0.461235
-0.0004,0.463037
-0.0004,0.4648288
-0.0004,0.4667258
-0.0004,0.4686385
-0.0004,0.4705423
-0.0004,0.4723492
-0.0001,0.4741121
-0.0001,0.4760137
-0.0001,0.4780827
-0.0001,0.4801188
-0.0001,0.4829584
-0.0001,0.4848461
-0.0001,0.4867142
-0.0001,0.4885266
-0.0001,0.4904435
-0.0001,0.4922217
-0.0001,0.4943435
-0.0002,0.5017001
-0.0002,0.5033333
-0.0002,0.5055792
-0.0002,0.5073249
-0.0002,0.5091106
-0.0002,0.5112024
-0.0002,0.5129305
-0.0002,0.5148447
-0.0002,0.5167677
-0.0002,0.5186117
-0.0002,0.5204861
-0.0002,0.5223232
0,0.5242161
0,0.5261258
0,0.5281366
0,0.5299149
0,0.5318189
0,0.5337262
0,0.5355261
0,0.5373631
0,0.5392352
0,0.5411208
0,0.5430335
0,0.5449527
0,0.5468343
-0.0001,0.5490419
-0.0001,0.5511528
-0.0001,0.5533411
-0.0001,0.5551264
-0.0001,0.5569047
-0.0001,0.5588691
-0.0001,0.5606251
-0.0001,0.5625547
-0.0001,0.5645381
-0.0001,0.5668393
-0.0001,0.5686439
0,0.5734755
0,0.577382
0,0.581283
0,0.5828188
0,0.5843312
0,0.586332
0,0.5880497
0,0.5899456
0,0.5918276
0,0.5937249
0,0.5956252
0,0.5975601
-0.0001,0.5999351
-0.0001,0.6018216
-0.0001,0.604142
-0.0001,0.6059355
-0.0001,0.6076127
-0.0001,0.60953
-0.0001,0.6114877
-0.0001,0.6133216
-0.0001,0.615226
-0.0001,0.6171228
-0.0001,0.618917
-0.0001,0.6208169
-0.0001,0.6226346
0,0.6245171
0,0.6264145
0,0.6285046
0,0.6303348
0,0.6322196
0,0.6342484
0,0.6361915
0,0.6380503
0,0.6398078
0,0.641838
0,0.6436518
0,0.64551
0,0.6475453
0,0.6497284
0,0.6516213
0,0.6535189
0,0.655336
0,0.6571341
0,0.6590396
0,0.6610386
0,0.6648969
0,0.6661316
0,0.6681586
0,0.6697715
0,0.6716365
0,0.6734175
0,0.6753356
0,0.6771294
0,0.6789886
0,0.6808445
0,0.6834224
0,0.6853481
0,0.6871663
0,0.689297
0,0.6908434
0,0.6926338
0,0.6947441
0,0.6965477
0,0.6983264
0,0.7003447
0,0.7022498
0,0.7040754
0,0.7058336
0,0.7077489
0,0.7096335
0,0.7115429
0,0.7134289
0,0.7152353
0,0.7171163
0,0.7190278
0,0.7208589
0,0.7227693
0,0.7246428
0,0.7265453
0,0.728522
0,0.730316
0,0.7338434
0,0.7357566
0,0.7375498
0,0.7394269
0,0.7413282
0,0.7431363
0,0.7451993
0,0.7497055
0,0.7511231
0,0.7533308
0,0.755132
0,0.7570432
0,0.7588226
0,0.7607267
0,0.7625985
0,0.7644197
0,0.7663284
0,0.7681473
0,0.7700484
0,0.7720299
0,0.7739345
0,0.7758371
0,0.7777304
0,0.7796249
0,0.7814241
0,0.7832205
0,0.7851408
0,0.7870254
0,0.7888189
0,0.7907533
0,0.7926473
0,0.79478
0,0.7963203
0,0.7982276
0,0.800032
0,0.8018492
0,0.8036872
0,0.8055519
0,0.8074258
0,0.8092421
0,0.8112047
0,0.8129274
0,0.8148279
0,0.8166409
0,0.8184155
0,0.8204229
0,0.8222229
0,0.8241678
0,0.8259251
0,0.8277258
0,0.8296768
0,0.8335101
0,0.8347576
0,0.8369302
0,0.8387244
0,0.8405496
0,0.842326
0,0.8443356
0,0.8461652
0,0.8480238
0,0.849839
0,0.8516143
0,0.8535191
0,0.8553429
0,0.8571466
0,0.8589336
0,0.8608235
0,0.8627786
0,0.8646247
0,0.8668167
0,0.8686414
0,0.870528
0,0.8723338
0,0.8742296
0,0.8761198
0,0.8780078
0,0.8798404
0,0.8817303
0,0.8839217
0,0.8857226
0,0.8876175
0,0.8895637
0,0.8914391
0,0.8933313
0,0.8952361
0,0.8971388
0,0.8989128
0,0.9009438
0,0.9029452
0,0.9046184
0,0.9065815
0,0.9084309
0,0.9103391
0,0.912176
0,0.9140782
0,0.9164181
0,0.9204841
0,0.9219522
0,0.9243028
0,0.9265397
0,0.9287694
0,0.93098
0,0.9329233
0,0.9348463
0,0.9369336
