av,al,co,se,ta,tcost
18,11,6,5,9,0.651383
18,11,6.5,5,9,0.684844
18,11,6,5,9,0.2500123
18,11.5,6,5,9,0.6814988
18,11.5,6.5,5,9,0.330832
18.5,11.5,6.5,5,9,0.2299078
19,11.5,6.5,5,9,0.3513232
19,11.5,6.5,5,8.5,0.6283178
19,11.5,6.5,4.5,8.5,0.7171387
19,11,6.5,4.5,8.5,0.2978175
19,11,7,4.5,8.5,0.4050217
19,11,7,4.5,9,0.2728414
19,11,7,4.5,8.5,0.3249665
19,11,7,5,8.5,0.2993939
19,11,7,4.5,8.5,0.3060062
19,11,7.5,4.5,8.5,0.4701782
19.5,11,7.5,4.5,8.5,0.2842828
19.5,11,7.5,4.5,9,0.2596299
19.5,11,8,4.5,9,0.3137695
19.5,11.5,8,4.5,9,0.3955701
19.5,11.5,8,4,9,0.3213202
19,11.5,8,4,9,0.386788
19,11,8,4,9,0.7303166
19,11,8,4.5,9,0.2432925
19,10.5,8,4.5,9,0.3053435
19.5,10.5,8,4.5,9,0.3392349
19.5,10.5,8,4.5,9.5,0.5446691
19.5,10.5,7.5,4.5,9.5,0.3964974
19,10.5,7.5,4.5,9.5,0.6770929
19,10.5,8,4.5,9.5,0.3205251
19.5,10.5,8,4.5,9.5,0.387081
19,10.5,8,4.5,9.5,0.653029
19,10.5,8,4.5,9,0.5321332
19,10,8,4.5,9,0.4614159
19,9.5,8,4.5,9,0.3329662
19,10,8,4.5,9,0.4139491
19,10.5,8,4.5,9,0.2715644
19,10.5,8,5,9,0.3573758
19,10.5,8,5,9.5,0.2958821
19.5,10.5,8,5,9.5,0.342568
19.5,10.5,8,5,10,0.2919739
19.5,11,8,5,10,0.332881
19.5,11,8,5.5,10,0.3449889
19.5,11,8,6,10,0.287282
19.5,11.5,8,6,10,0.4649248
19.5,12,8,6,10,0.5697228
19.5,12.5,8,6,10,0.3217286
20,12.5,8,6,10,0.2779381
20,12.5,8,6,10.5,0.3156572
20,13,8,6,10.5,0.4189334
19.5,13,8,6,10.5,0.2596257
19.5,13,8.5,6,10.5,0.3708189
19.5,13,8,6,10.5,0.3282958
19.5,12.5,8,6,10.5,0.2578522
19.5,12.5,8,6.5,10.5,0.7146435
19.5,12.5,8,6.5,10,0.3750932
20,12.5,8,6.5,10,0.3487691
20,12,8,6.5,10,0.3152109
20,12,8,7,10,0.2705666
20,12,8,7,9.5,0.2745643
