DroneID,Time,X,Z
Agent 6,3.001155,2.989843,-7.948118
Agent 7,3.001155,8.996243,-3.839238
Agent 0,3.501047,5.639477,-9.181934
Agent 1,3.501047,7.305222,-3.974648
Agent 2,3.501047,6.239311,-4.346932
Agent 3,3.501047,10.45473,-9.619076
Agent 4,3.501047,5.163822,-9.954128
Agent 5,3.501047,8.253664,-7.327498
Agent 6,3.501047,4.200636,-9.327139
Agent 7,3.501047,10.31587,-5.096684
Agent 0,4.000153,7.133024,-10.7183
Agent 1,4.000153,8.840187,-5.511642
Agent 2,4.000153,7.796227,-5.86921
Agent 3,4.000153,11.96271,-11.07314
Agent 4,4.000153,6.654959,-11.4878
Agent 5,4.000153,9.722248,-8.881414
Agent 6,4.000153,5.61961,-10.94851
Agent 7,4.000153,11.86466,-6.570968
Agent 0,4.501461,8.564098,-12.19415
Agent 1,4.501461,10.31536,-6.989272
Agent 2,4.501461,9.295444,-7.33052
Agent 3,4.501461,13.41177,-12.46171
Agent 4,4.501461,8.083609,-12.95878
Agent 5,4.501461,11.12626,-10.37856
Agent 6,4.501461,6.968199,-12.51623
Agent 7,4.501461,13.35511,-7.981216
Agent 0,5.000647,9.807819,-13.47795
Agent 1,5.000647,11.60073,-8.27721
Agent 2,5.000647,10.60494,-8.601189
Agent 3,5.000647,14.67693,-13.66165
Agent 4,5.000647,9.324726,-14.23243
Agent 5,5.000647,12.34295,-11.6901
Agent 6,5.000647,8.12599,-13.89104
Agent 7,5.000647,14.6567,-9.204384
Agent 0,5.501266,11.00412,-14.69675
Agent 1,5.501266,12.83933,-9.518826
Agent 2,5.501266,11.86882,-9.824997
Agent 3,5.501266,15.88265,-14.79056
Agent 4,5.501266,10.5178,-15.42336
Agent 5,5.501266,13.51016,-12.95312
Agent 6,5.501266,9.23362,-15.19789
Agent 7,5.501266,15.90014,-10.37948
Agent 0,6.001592,12.2979,-15.96149
Agent 1,6.001592,14.17512,-10.85978
Agent 2,6.001592,13.23336,-11.14761
Agent 3,6.001592,17.14642,-15.94947
Agent 4,6.001592,11.81163,-16.61514
Agent 5,6.001592,14.7651,-14.30237
Agent 6,6.001592,10.43711,-16.53865
Agent 7,6.001592,17.20516,-11.64834
Agent 0,6.503055,13.63424,-17.14213
Agent 1,6.503055,15.53883,-12.2343
Agent 2,6.503055,14.63054,-12.50257
Agent 3,6.503055,18.36789,-17.01435
Agent 4,6.503055,13.15944,-17.62982
Agent 5,6.503055,16.04246,-15.65957
Agent 6,6.503055,11.68609,-17.74488
Agent 7,6.503055,18.45986,-12.95374
Agent 0,7.00028,14.88074,-17.9764
Agent 1,7.00028,16.78575,-13.50674
Agent 2,7.00028,15.92036,-13.75354
Agent 3,7.00028,19.27954,-17.75024
Agent 4,7.00028,14.45447,-18.28001
Agent 5,7.00028,17.19623,-16.83899
Agent 6,7.00028,12.86456,-18.55157
Agent 7,7.00028,19.40168,-14.16051
Agent 0,7.501662,16.04281,-18.48007
Agent 1,7.501662,17.87464,-14.66835
Agent 2,7.501662,17.08536,-14.89064
Agent 3,7.501662,19.84512,-18.20273
Agent 4,7.501662,15.73252,-18.67077
Agent 5,7.501662,18.14407,-17.66905
Agent 6,7.501662,14.02689,-19.03966
Agent 7,7.501662,19.9791,-15.25045
Agent 0,8.000113,17.2255,-18.77724
Agent 1,8.000113,18.77732,-15.78904
Agent 2,8.000113,18.16687,-15.97739
Agent 3,8.000113,20.19229,-18.4807
Agent 4,8.000113,17.10194,-18.91747
Agent 5,8.000113,18.79988,-18.18006
Agent 6,8.000113,15.35593,-19.35004
Agent 7,8.000113,20.32233,-16.28967
Agent 0,8.503529,18.46518,-18.95892
Agent 1,8.503529,19.37908,-16.85962
Agent 2,8.503529,19.07563,-16.98145
Agent 3,8.503529,20.40673,-18.65259
Agent 4,8.503529,18.59145,-19.09869
Agent 5,8.503529,19.20393,-18.49353
Agent 6,8.503529,16.94409,-19.55924
Agent 7,8.503529,20.5262,-17.23549
Agent 0,9.001145,19.57273,-19.08622
Agent 1,9.001145,19.74413,-17.68945
Agent 2,9.001145,19.66747,-17.7072
Agent 3,9.001145,20.54068,-18.76015
Agent 4,9.001145,19.95656,-19.22671
Agent 5,9.001145,19.45186,-18.68698
Agent 6,9.001145,18.62228,-19.68288
Agent 7,9.001145,20.65189,-17.88785
Agent 0,9.503491,20.29939,-19.16993
Agent 1,9.503491,19.96813,-18.20749
Agent 2,9.503491,20.03071,-18.15547
Agent 3,9.503491,20.6259,-18.82874
Agent 4,9.503491,20.85783,-19.30966
Agent 5,9.503491,19.60477,-18.80766
Agent 6,9.503491,19.99512,-19.75484
Agent 7,9.503491,20.73188,-18.28917
