DroneID,Time,X,Z
Agent 0,0,-1.227358,-2.211424
Agent 1,0,0.3352146,3.003813
Agent 2,0,-0.7816257,2.599926
Agent 3,0,3.570845,-2.85605
Agent 4,0,-1.696531,-2.988423
Agent 5,0,1.439722,-0.3271956
Agent 6,0,-2.505975,-2.16353
Agent 7,0,3.32262,1.727897
Agent 0,0.5006511,-1.15065,-2.288131
Agent 1,0.5006511,0.4125128,2.926514
Agent 2,0.5006511,-0.704217,2.522517
Agent 3,0.5006511,3.646603,-2.931808
Agent 4,0.5006511,-1.619875,-3.06508
Agent 5,0.5006511,1.516298,-0.4037725
Agent 6,0.5006511,-2.429048,-2.240458
Agent 7,0.5006511,3.399225,1.651291
Agent 0,1.001926,-0.5768375,-2.862155
Agent 1,1.001926,0.9902992,2.348665
Agent 2,1.001926,-0.1256866,1.944026
Agent 3,1.001926,4.213577,-3.498621
Agent 4,1.001926,-1.046416,-3.638744
Agent 5,1.001926,2.08922,-0.9768639
Agent 6,1.001926,-1.853945,-2.816155
Agent 7,1.001926,3.972528,1.078183
Agent 0,1.501158,0.6672573,-4.109987
Agent 1,1.501158,2.242588,1.095613
Agent 2,1.501158,1.128982,0.6910658
Agent 3,1.501158,5.448399,-4.729744
Agent 4,1.501158,0.1970196,-4.885947
Agent 5,1.501158,3.331177,-2.223628
Agent 6,1.501158,-0.6122074,-4.071439
Agent 7,1.501158,5.219683,-0.1640637
Agent 0,2.001355,2.097843,-5.55342
Agent 1,2.001355,3.688034,-0.3517012
Agent 2,2.001355,2.580746,-0.7531447
Agent 3,2.001355,6.875015,-6.142467
Agent 4,2.001355,1.626608,-6.328542
Agent 5,2.001355,4.756166,-3.668423
Agent 6,2.001355,0.8021898,-5.537541
Agent 7,2.001355,6.664469,-1.589875
Agent 0,2.500256,3.293554,-6.770854
Agent 1,2.500256,4.902937,-1.568813
Agent 2,2.500256,3.80574,-1.963454
Agent 3,2.500256,8.077942,-7.320629
Agent 4,2.500256,2.821192,-7.545213
Agent 5,2.500256,5.942131,-4.891709
Agent 6,2.500256,1.964888,-6.793394
Agent 7,2.500256,7.886589,-2.777609
Agent 0,3.001155,4.366508,-7.872661
Agent 1,3.001155,5.999662,-2.66742
Agent 2,3.001155,4.915968,-3.052172
Agent 3,3.001155,9.166088,-8.374605
Agent 4,3.001155,3.892796,-8.646236
Agent 5,3.001155,7.000732,-6.003951
