y,x
-0.2618,0
-0.2336,0.0028795
-0.2336,0.0047791
-0.2336,0.006619573
-0.2336,0.008479595
-0.2336,0.01039803
-0.2336,0.01228619
-0.2336,0.01437986
-0.2336,0.01597559
-0.2336,0.01788855
-0.2336,0.01969004
-0.2336,0.02149963
-0.2336,0.02337492
-0.2336,0.02529776
-0.2336,0.02708256
-0.1776,0.02901399
-0.1776,0.03107119
-0.1776,0.03259993
-0.1776,0.03448796
-0.1776,0.03628051
-0.1776,0.03808117
-0.1776,0.03997993
-0.1776,0.04188836
-0.1776,0.04368687
-0.1776,0.04547656
-0.1776,0.04738128
-0.1776,0.04922712
-0.1776,0.05121768
-0.0941,0.05301392
-0.0941,0.05479014
-0.0941,0.0566262
-0.0941,0.05847538
-0.0941,0.0603869
-0.0941,0.06219316
-0.0941,0.06416404
-0.0941,0.06588972
-0.0941,0.06778467
-0.0941,0.06967902
-0.0941,0.07148564
-0.0941,0.07328975
-0.0941,0.07507288
-0.0941,0.07689273
0.0166,0.07868469
0.0166,0.08048117
0.0166,0.08237386
0.0166,0.08419013
0.0166,0.08607709
0.0166,0.08799493
0.0166,0.08982289
0.0166,0.09168172
0.0166,0.09358513
0.0166,0.09538972
0.0166,0.09718549
0.0166,0.09910738
0.0166,0.1008803
0.1125,0.1027752
0.1125,0.1046789
0.1125,0.1121907
0.1125,0.1138166
0.1125,0.1159431
0.1125,0.1176745
0.1125,0.1196873
0.1125,0.1213912
0.1125,0.1233152
0.1125,0.125482
0.1125,0.1273985
0.179,0.129383
0.179,0.1312995
0.179,0.1331009
0.179,0.135416
0.179,0.1371913
0.179,0.1392816
0.179,0.1415154
0.179,0.1434067
0.179,0.145291
0.179,0.1470865
0.179,0.1489792
0.179,0.1507748
0.2164,0.1526704
0.2164,0.1546041
0.2164,0.1564142
0.2164,0.1583871
0.2164,0.1601743
0.2164,0.1620812
0.2164,0.1638812
0.2164,0.1658113
0.2164,0.1675814
0.2164,0.1693889
0.2164,0.1711705
0.2164,0.1730767
0.2164,0.174984
0.2164,0.176915
0.2252,0.1786829
0.2252,0.1804695
0.2252,0.1822866
0.2252,0.1841806
0.2252,0.1860712
0.2252,0.1880093
0.2252,0.189894
0.2252,0.1917741
0.2252,0.1937113
0.2252,0.195573
0.2252,0.197771
0.2252,0.1994816
0.2252,0.2012669
0.2057,0.2030649
0.2057,0.2050877
0.2057,0.2069232
0.2057,0.208777
