y,x
-0.2618,0
-0.2618,0.003192067
-0.2618,0.005407691
-0.2618,0.00730896
-0.2618,0.009079933
-0.2336,0.01078892
-0.2336,0.01269829
-0.2336,0.01457512
-0.2336,0.01646531
-0.2336,0.01827109
-0.2336,0.02008533
-0.2336,0.02189207
-0.2336,0.02368498
-0.2336,0.02558184
-0.2336,0.02738523
-0.2336,0.029284
-0.2336,0.03117585
-0.2336,0.03310537
-0.1776,0.03487873
-0.1776,0.03667629
-0.1776,0.03849173
-0.1776,0.0402776
-0.1776,0.04219067
-0.1776,0.04399025
-0.1776,0.04587626
-0.1776,0.04777539
-0.1776,0.04968536
-0.1776,0.05159616
-0.1776,0.05338979
-0.1776,0.05520809
-0.1776,0.05697846
-0.1776,0.05877721
-0.0941,0.06068563
-0.0941,0.06261611
-0.0941,0.06447947
-0.0941,0.0662899
-0.0941,0.06806993
-0.0941,0.06987321
-0.0941,0.07178593
-0.0941,0.07357562
-0.0941,0.07536638
-0.0941,0.07720053
-0.0941,0.07920408
-0.0941,0.08107555
-0.0941,0.08297706
0.0166,0.08477557
0.0166,0.08657181
0.0166,0.08838737
0.0166,0.09018767
0.0166,0.09270859
0.0166,0.09502375
0.0166,0.0968461
0.0166,0.0985992
0.0166,0.1004772
0.0166,0.1023959
0.0166,0.1042327
0.0166,0.1060653
0.0166,0.1078607
0.1192,0.1096812
0.1192,0.1114653
0.1192,0.1133113
0.1192,0.1150627
0.1192,0.1170025
0.1192,0.1187726
0.1192,0.120887
0.1192,0.1226931
0.1192,0.1253909
0.1192,0.1277071
0.1192,0.1296498
0.1192,0.131508
0.1192,0.1333817
0.1923,0.1362034
0.1923,0.1389608
0.1923,0.1410931
0.1923,0.142913
0.1923,0.1450237
0.1923,0.146886
0.1923,0.1487826
0.1923,0.1510231
0.1923,0.1531185
0.1923,0.1550443
0.1923,0.1570156
0.1923,0.1590993
0.2363,0.161078
0.2363,0.1630718
0.2363,0.1652154
0.2363,0.1672016
0.2363,0.1690748
0.2363,0.171047
0.2363,0.1729897
0.2363,0.1748701
0.2363,0.1768034
0.2363,0.1787635
0.2363,0.1804593
0.2363,0.1823726
0.2515,0.1843834
0.2515,0.186386
0.2515,0.1885731
0.2515,0.1902983
0.2515,0.1920829
0.2515,0.1938784
0.2515,0.1958277
0.2515,0.197772
0.2515,0.1996179
0.2515,0.2013816
0.2515,0.203182
0.2515,0.2050251
0.2515,0.2068784
0.2515,0.2087455
0.2384,0.2104915
0.2384,0.2124734
0.2384,0.2145081
0.2384,0.2162786
0.2384,0.2180769
0.2384,0.2199714
0.2384,0.2218138
0.2384,0.2235858
0.2384,0.2254831
0.2384,0.2272792
0.2384,0.2291791
0.2384,0.2309839
0.2384,0.2328991
0.1973,0.2347008
0.1973,0.2364825
0.1973,0.2382957
0.1973,0.2400774
0.1973,0.2419766
0.1973,0.2437952
0.1973,0.2457753
0.1973,0.247676
0.1973,0.2494698
0.1973,0.251632
0.1973,0.2530869
0.1973,0.2549248
0.1973,0.2567855
0.1973,0.2585835
0.1284,0.260386
0.1284,0.2623004
0.1284,0.2640742
0.1284,0.2659962
0.1284,0.267777
0.1284,0.2696879
0.1284,0.2715495
0.1284,0.273288
0.1284,0.2751864
0.1284,0.2770092
0.1284,0.2787762
0.1284,0.2805903
0.1284,0.2823889
0.0323,0.2841753
0.0323,0.2860917
0.0323,0.2878431
0.0323,0.2896878
0.0323,0.2916079
0.0323,0.2933826
0.0323,0.2952623
0.0323,0.2971985
0.0323,0.2989962
0.0323,0.3008856
0.0323,0.3026876
0.0323,0.3045404
0.0323,0.3063986
0.0323,0.3081789
-0.0757,0.3101031
-0.0757,0.3120126
-0.0757,0.3136868
-0.0757,0.3155857
-0.0757,0.3173727
-0.0757,0.3192828
-0.0757,0.3211604
-0.0757,0.3229852
-0.0757,0.3248987
-0.0757,0.3266869
-0.0757,0.3284869
-0.0757,0.3302984
-0.0757,0.332207
-0.0757,0.3339683
-0.1542,0.3358891
-0.1542,0.3377734
-0.1542,0.3395891
-0.1542,0.3413889
-0.1542,0.3433088
-0.1542,0.3452498
-0.1542,0.3470919
-0.1542,0.3489839
-0.1542,0.350773
-0.1542,0.3526853
-0.1542,0.354533
-0.1542,0.3563869
