y,x
-0.2618,0
-0.2618,0.001913667
-0.2618,0.00376308
-0.2336,0.005734444
-0.2336,0.008250594
-0.2336,0.009843469
-0.2336,0.011729
-0.2336,0.01352358
-0.2336,0.01545
-0.2336,0.01732504
-0.2336,0.01922643
-0.2336,0.02123439
-0.2336,0.02313709
-0.2336,0.02503932
-0.2336,0.02688122
-0.2336,0.0287385
-0.1776,0.03051722
-0.1776,0.03262997
-0.1776,0.03443778
-0.1776,0.0364399
-0.1776,0.0382458
-0.1776,0.04013073
-0.1776,0.04244649
-0.1776,0.04424
-0.1776,0.04593992
-0.1776,0.04782987
-0.1776,0.0497669
-0.1776,0.05153561
-0.1776,0.05370545
-0.0941,0.05533743
-0.0941,0.05733168
-0.0941,0.05904973
-0.0941,0.06096089
-0.0941,0.06272864
-0.0941,0.06463087
-0.0941,0.06654263
-0.0941,0.0683285
-0.0941,0.0702405
-0.0941,0.07223153
-0.0941,0.07393694
-0.0941,0.07576025
-0.0941,0.07762885
-0.0006,0.0798347
-0.0006,0.08183932
-0.0006,0.08354533
-0.0006,0.08545256
-0.0006,0.08733356
-0.0006,0.0893451
-0.0006,0.09114254
-0.0006,0.09298718
-0.0006,0.09485126
-0.0006,0.09663236
-0.0006,0.09842288
-0.0006,0.1003313
-0.0006,0.1022235
0.0635,0.1041399
0.0635,0.1062903
0.0635,0.1083246
0.0635,0.1101838
0.0635,0.1120254
0.0635,0.1138281
0.0635,0.1157255
0.0635,0.1177399
0.0635,0.1196446
0.0635,0.1215389
0.0635,0.1233405
0.0635,0.125246
0.0635,0.1271471
0.0987,0.1289424
0.0987,0.1311482
0.0987,0.1328276
0.0987,0.1348275
0.0987,0.1366251
0.0987,0.1385198
0.0987,0.1405241
0.0987,0.142296
0.0987,0.1441487
0.0987,0.1459162
0.0987,0.147836
0.0987,0.1496285
0.0987,0.1515504
0.0987,0.1533329
0.1052,0.1552373
0.1052,0.1572397
0.1052,0.1589468
0.1052,0.1610281
0.1052,0.1629497
0.1052,0.1648386
0.1052,0.166626
0.1052,0.1686305
0.1052,0.1705331
0.1052,0.1724381
0.1052,0.1743058
0.1052,0.17617
0.1052,0.1780295
0.0834,0.1798315
0.0834,0.1819441
0.0834,0.183633
0.0834,0.1855513
0.0834,0.1874477
0.0834,0.1893361
0.0834,0.1911386
0.0834,0.1930426
0.0834,0.1948333
0.0834,0.1967586
0.0834,0.1985244
0.0834,0.2006518
0.0834,0.2024364
0.0352,0.204331
0.0352,0.2064582
0.0352,0.2080597
0.0352,0.2099752
0.0352,0.2117192
0.0352,0.2136317
0.0352,0.2155455
0.0352,0.2177812
0.0352,0.2196518
0.0352,0.2214297
0.0352,0.2233403
0.0352,0.2251277
0.0352,0.2270749
0.0352,0.2289327
-0.011,0.2308588
-0.011,0.2328357
-0.011,0.2345419
-0.011,0.2365483
-0.011,0.2383249
-0.011,0.2402251
-0.011,0.242058
-0.011,0.2438713
-0.011,0.2458926
-0.011,0.2476351
-0.011,0.2495313
-0.011,0.2514368
-0.011,0.2534598
-0.0373,0.2552302
-0.0373,0.2574484
-0.0373,0.2590922
-0.0373,0.2609373
-0.0373,0.2628285
-0.0373,0.2646489
-0.0373,0.2665236
-0.0373,0.2683557
-0.0373,0.2702377
-0.0373,0.2721205
-0.0373,0.2740369
-0.0373,0.2760195
-0.0373,0.2777327
-0.0397,0.2796347
-0.0397,0.2816446
-0.0397,0.2832263
-0.0397,0.2850641
-0.0397,0.2869625
-0.0397,0.2890414
-0.0397,0.2913038
-0.0397,0.2930396
-0.0397,0.2948325
-0.0397,0.2967248
-0.0397,0.2985458
-0.0397,0.3007324
-0.0397,0.3022249
-0.0253,0.3041456
-0.0253,0.3061411
-0.0253,0.3135961
-0.0253,0.315163
-0.0253,0.3173883
-0.0253,0.3193401
-0.0253,0.3212519
-0.0253,0.3231381
-0.0253,0.3249352
-0.0253,0.3267831
-0.0253,0.3286318
-0.0055,0.3304383
-0.0055,0.3325595
-0.0055,0.3343573
-0.0055,0.3362434
-0.0055,0.3381301
-0.0055,0.3400463
-0.0055,0.3418438
-0.0055,0.3437483
-0.0055,0.3455216
-0.0055,0.3475517
-0.0055,0.3497313
-0.0055,0.351562
-0.0055,0.3533301
0.0099,0.3552531
0.0099,0.3573376
0.0099,0.3590328
0.0099,0.3608406
0.0099,0.3627411
0.0099,0.3646346
0.0099,0.3665636
0.0099,0.3683813
0.0099,0.3702278
0.0099,0.3722557
0.0099,0.374145
0.0099,0.3759344
0.0099,0.3777986
0.0161,0.3796302
0.0161,0.3818433
0.0161,0.3836288
0.0161,0.3856279
0.0161,0.3874173
0.0161,0.3894678
0.0161,0.3912438
0.0161,0.3931328
0.0161,0.3950262
0.0161,0.3969399
0.0161,0.3988321
0.0161,0.400748
0.0161,0.402619
0.0137,0.4046326
0.0137,0.4067341
0.0137,0.4083267
0.0137,0.4102386
0.0137,0.4120376
0.0137,0.4139463
0.0137,0.4162251
0.0137,0.4180461
0.0137,0.4199337
0.0137,0.4218223
0.0137,0.4236559
0.0137,0.4256619
0.0137,0.4273243
0.0066,0.429245
0.0066,0.4313227
0.0066,0.4331398
0.0066,0.4350231
0.0066,0.4368474
0.0066,0.4387398
0.0066,0.4406414
0.0066,0.4425896
0.0066,0.4443353
0.0066,0.4462463
0.0066,0.4481362
0.0066,0.450031
0.0066,0.4518434
0.0066,0.4536251
-0.0008,0.4556438
-0.0008,0.4576582
-0.0008,0.4593294
-0.0008,0.4612371
-0.0008,0.4631257
-0.0008,0.4649422
-0.0008,0.4668323
-0.0008,0.468951
-0.0008,0.4707432
-0.0008,0.4726373
-0.0008,0.4745357
-0.0008,0.4763536
-0.0008,0.4782271
-0.0054,0.4802037
-0.0054,0.4821551
-0.0054,0.483806
-0.0054,0.4856178
-0.0054,0.4875512
-0.0054,0.4894325
-0.0054,0.4912649
-0.0054,0.4931753
-0.0054,0.4968755
-0.0054,0.498138
-0.0054,0.5003468
-0.0054,0.5021664
-0.0063,0.5040478
-0.0063,0.506036
-0.0063,0.5078367
-0.0063,0.5096476
-0.0063,0.5115376
-0.0063,0.5133461
-0.0063,0.5152472
-0.0063,0.5170301
-0.0063,0.5189234
-0.0063,0.5207345
-0.0063,0.5229158
-0.0063,0.5250514
-0.0063,0.5270231
-0.0063,0.5289329
-0.0043,0.5308348
-0.0043,0.5328342
-0.0043,0.534546
-0.0043,0.5363574
-0.0043,0.5382363
-0.0043,0.540043
-0.0043,0.5419332
-0.0043,0.5437543
-0.0043,0.5456346
-0.0043,0.5476773
-0.0043,0.5494413
-0.0043,0.5513343
-0.0043,0.5532253
-0.0013,0.5550348
-0.0013,0.5571424
-0.0013,0.5589764
-0.0013,0.5606253
-0.0013,0.5625468
-0.0013,0.564332
-0.0013,0.5663295
-0.0013,0.5682418
-0.0013,0.5701828
-0.0013,0.5721333
-0.0013,0.5739223
-0.0013,0.5757823
0.0013,0.5797974
0.0013,0.5814052
0.0013,0.5834504
0.0013,0.5851954
0.0013,0.587031
0.0013,0.5889257
0.0013,0.5908488
0.0013,0.5927354
0.0013,0.594443
0.0013,0.5963328
0.0013,0.5981328
0.0013,0.6000391
0.0013,0.6018531
0.0013,0.6037576
0.0024,0.6055266
0.0024,0.608369
0.0024,0.6096267
0.0024,0.6114327
0.0024,0.6133525
0.0024,0.6151578
0.0024,0.6170356
0.0024,0.6190323
0.0024,0.6208051
0.0024,0.622852
0.0024,0.6246302
0.0024,0.6264993
0.0024,0.6283404
0.0022,0.6306424
0.0022,0.6326319
0.0022,0.6344761
0.0022,0.6364346
0.0022,0.6382614
