av,al,co,se,ta,tcost
6,-2.4,4.5,13.5,2.5,0.4579638
5.5,-2.4,4.5,13.5,2.5,0.4906922
6,-2.4,4.5,13.5,2.5,0.4486227
6.5,-2.4,4.5,13.5,2.5,0.4494852
6.5,-2.9,4.5,13.5,2.5,0.4524536
6.5,-2.9,4.5,13.5,3,0.4684043
6,-2.9,4.5,13.5,3,0.4849964
6,-3.4,4.5,13.5,3,0.4539249
6,-3.4,5,13.5,3,0.4771647
5.5,-3.4,5,13.5,3,0.4160399
5.5,-3.4,5,13.5,3.5,0.4469111
5.5,-3.4,5,13.5,4,0.4658936
5.5,-3.4,5,13,4,0.4684622
5.5,-3.4,5,13.5,4,0.4270583
5,-3.4,5,13.5,4,0.4198829
5,-3.4,5,13.5,3.5,0.3902305
5,-3.4,5,13.5,3,0.5024049
5,-2.9,5,13.5,3,0.4715964
5,-2.9,5,14,3,0.438307
5,-3.4,5,14,3,0.4710945
5,-3.9,5,14,3,0.4409041
4.5,-3.9,5,14,3,0.4624761
4.5,-3.9,5,14.5,3,0.4593061
4.5,-3.9,5,15,3,0.4536047
4.5,-4.4,5,15,3,0.4424591
4.5,-3.9,5,15,3,0.4671881
4.5,-3.9,5,14.5,3,0.4390155
4.5,-3.9,5,14.5,3.5,0.4624914
4.5,-3.9,4.5,14.5,3.5,0.4996152
4.5,-3.4,4.5,14.5,3.5,0.3938819
4.5,-3.4,4.5,14.5,3,0.4382162
4.5,-3.4,4.5,15,3,0.4141388
4.5,-3.4,4.5,14.5,3,0.4625349
4.5,-3.9,4.5,14.5,3,0.4674893
4.5,-3.9,4.5,14,3,0.4690079
4.5,-4.4,4.5,14,3,0.506698
4.5,-4.4,4.5,14,2.5,0.4541341
4.5,-4.4,4.5,14,2,0.4993031
4.5,-4.4,4.5,14,1.5,0.4652126
4.5,-3.9,4.5,14,1.5,0.4466278
4.5,-4.4,4.5,14,1.5,0.4514077
4.5,-4.4,5,14,1.5,0.4419723
4.5,-4.4,5,14,1,0.4425158
4.5,-4.4,5,14,1.5,0.4353699
4.5,-4.4,5,14.5,1.5,0.4508488
4.5,-4.4,5,14.5,1,0.4570794
4,-4.4,5,14.5,1,0.4514987
4,-4.9,5,14.5,1,0.4748751
4,-4.9,4.5,14.5,1,0.4760351
4,-4.9,4.5,14,1,0.5087661
4,-4.9,4.5,14,1.5,0.4641193
4.5,-4.9,4.5,14,1.5,0.4597124
4.5,-4.9,4.5,14,2,0.4374213
4.5,-4.9,5,14,2,0.468994
4.5,-4.9,5,14.5,2,0.4584233
4.5,-4.9,5,15,2,0.4621947
4.5,-5.4,5,15,2,0.4219895
4.5,-5.4,5,14.5,2,0.4540287
4.5,-4.9,5,14.5,2,0.4550748
4.5,-4.9,5,14,2,0.44512
4.5,-5.4,5,14,2,0.4265491
4,-5.4,5,14,2,0.445402
4,-5.4,5,14,2.5,0.4487425
4.5,-5.4,5,14,2.5,0.464565
4.5,-5.4,5,14.5,2.5,0.4578948
4.5,-5.4,5,15,2.5,0.464043
5,-5.4,5,15,2.5,0.4349813
5,-5.4,5,15,2,0.4332949
5,-5.4,5,15,2.5,0.5044661
5,-5.4,5,15,2,0.411129
5,-4.9,5,15,2,0.4180194
5,-5.4,5,15,2,0.4909645
4.5,-5.4,5,15,2,0.438894
5,-5.4,5,15,2,0.4278238
5,-5.4,5,14.5,2,0.4491497
5,-5.4,5,14.5,1.5,0.4962183
4.5,-5.4,5,14.5,1.5,0.5030762
4,-5.4,5,14.5,1.5,0.4510093
4,-5.4,4.5,14.5,1.5,0.4614387
4.5,-5.4,4.5,14.5,1.5,0.4692842
4,-5.4,4.5,14.5,1.5,0.5058885
4,-4.9,4.5,14.5,1.5,0.4904322
4,-4.9,4.5,14.5,2,0.4469061
4,-4.9,4.5,14,2,0.448905
4,-4.9,4.5,14,1.5,0.4433415
4,-4.9,5,14,1.5,0.4562061
4,-4.9,5,13.5,1.5,0.4518217
4,-4.4,5,13.5,1.5,0.5119137
4,-4.4,4.5,13.5,1.5,0.4503872
4.5,-4.4,4.5,13.5,1.5,0.4629767
4,-4.4,4.5,13.5,1.5,0.4723851
4,-4.4,4.5,13.5,1,0.4418863
4,-4.4,4,13.5,1,0.4936724
4,-4.4,4.5,13.5,1,0.4228182
4,-4.4,4.5,13.5,1.5,0.4554563
4,-4.4,4.5,13,1.5,0.4268466
4,-4.4,4,13,1.5,0.4499241
3.5,-4.4,4,13,1.5,0.4532874
3.5,-4.4,3.5,13,1.5,0.4441872
3.5,-4.4,3,13,1.5,0.4240174
3.5,-4.4,2.5,13,1.5,0.3997394
3,-4.4,2.5,13,1.5,0.4964455
3,-4.4,2,13,1.5,0.479556
3,-4.4,2,13,2,0.4815536
3,-4.4,2,13.5,2,0.4387616
2.5,-4.4,2,13.5,2,0.4220981
2,-4.4,2,13.5,2,0.4333413
2,-4.4,2.5,13.5,2,0.4019663
2.5,-4.4,2.5,13.5,2,0.4476048
2.5,-4.4,2.5,13.5,2.5,0.4578483
2,-4.4,2.5,13.5,2.5,0.4819092
1.5,-4.4,2.5,13.5,2.5,0.4232265
1.5,-4.4,2.5,13.5,2,0.4946296
1.5,-4.4,2.5,13,2,0.4896573
1.5,-4.4,2.5,12.5,2,0.4515598
1.5,-4.4,2.5,12,2,0.3998432
1.5,-3.9,2.5,12,2,0.4705511
1.5,-3.9,2.5,12,2.5,0.4512845
1.5,-3.9,2.5,12.5,2.5,0.4629108
1.5,-3.9,3,12.5,2.5,0.442482
1.5,-3.9,3,13,2.5,0.4211638
1.5,-4.4,3,13,2.5,0.4471381
1.5,-3.9,3,13,2.5,0.3850944
1.5,-3.9,3.5,13,2.5,0.3836646
1.5,-3.9,3,13,2.5,0.4135912
1,-3.9,3,13,2.5,0.4071799
1,-4.4,3,13,2.5,0.5048953
0.5,-4.4,3,13,2.5,0.4555003
0.5,-4.4,3.5,13,2.5,0.5096198
1,-4.4,3.5,13,2.5,0.4691665
1,-4.4,3.5,13,3,0.4289325
1,-3.9,3.5,13,3,0.4478728
1,-3.9,4,13,3,0.4550458
1,-3.9,4,13,2.5,0.4565099
1,-4.4,4,13,2.5,0.4368393
1,-4.4,4.5,13,2.5,0.4698423
1,-3.9,4.5,13,2.5,0.4544875
1,-3.9,5,13,2.5,0.4897162
1,-3.9,5.5,13,2.5,0.4075495
1,-3.9,5.5,13.5,2.5,0.5086923
1,-3.9,6,13.5,2.5,0.4697344
1,-3.9,6,13.5,3,0.4681928
0.5,-3.9,6,13.5,3,0.45722
0.5,-3.9,6,13.5,2.5,0.4618886
0.5,-3.9,6,13,2.5,0.467183
1,-3.9,6,13,2.5,0.4976175
1,-3.9,6.5,13,2.5,0.4537339
1,-3.9,6.5,13,2,0.4470758
0.5,-3.9,6.5,13,2,0.4952952
0.5,-3.9,6,13,2,0.4456887
0.5,-3.4,6,13,2,0.4658242
0.5,-3.4,6,13,1.5,0.4433552
0.5,-3.4,6,13,2,0.4395041
0.5,-3.4,6,13.5,2,0.4645214
0.5,-3.4,6,13.5,1.5,0.4214951
0.5,-3.9,6,13.5,1.5,0.5042501
0.5,-3.9,5.5,13.5,1.5,0.4598253
0.5,-3.4,5.5,13.5,1.5,0.4604893
0,-3.4,5.5,13.5,1.5,0.4430827
0,-3.9,5.5,13.5,1.5,0.5041875
0,-4.4,5.5,13.5,1.5,0.4698445
0.5,-4.4,5.5,13.5,1.5,0.47494
0.5,-4.4,5.5,13,1.5,0.4678409
0.5,-4.4,5.5,12.5,1.5,0.5205272
1,-4.4,5.5,12.5,1.5,0.484359
1,-3.9,5.5,12.5,1.5,0.4498625
1.5,-3.9,5.5,12.5,1.5,0.5078732
1,-3.9,5.5,12.5,1.5,0.4410499
1,-3.9,5.5,12.5,2,0.4501348
1.5,-3.9,5.5,12.5,2,0.5129745
1.5,-3.9,5,12.5,2,0.45935
1.5,-3.9,5,12,2,0.4932916
1.5,-3.9,5.5,12,2,0.4459237
1.5,-3.9,5.5,12.5,2,0.44961
1.5,-3.4,5.5,12.5,2,0.4762098
2,-3.4,5.5,12.5,2,0.3952202
2,-3.4,5.5,12.5,1.5,0.4502839
2,-3.4,5.5,12,1.5,0.4710485
2,-3.4,6,12,1.5,0.3965999
2,-3.4,6.5,12,1.5,0.5111766
2.5,-3.4,6.5,12,1.5,0.4385705
2.5,-3.4,6.5,12,1,0.4257215
2.5,-3.9,6.5,12,1,0.4568346
2.5,-3.9,6.5,12.5,1,0.4443988
2.5,-3.4,6.5,12.5,1,0.4267759
2.5,-3.4,6.5,12,1,0.4803693
2.5,-3.4,6.5,11.5,1,0.4770461
2.5,-3.4,7,11.5,1,0.4829954
